node,DC,CC,BC,EC,TOPSIS
107,0.258791480931154,0.45969945355191255,0.4805180785560152,0.00026069399119670245,0.9132769093285672
1684,0.1961367013372957,0.39360561458231796,0.3377974497301992,7.1642597901192735e-06,0.6955655521946662
1912,0.18697374938088163,0.35094733182687293,0.2292953395868782,0.09540696149067629,0.49606342912582596
3437,0.13546310054482416,0.31441252043914975,0.23611535735892905,9.531612931089674e-08,0.4888647254832404
0,0.08593363051015354,0.35334266713335666,0.14630592147442917,3.3917961722702005e-05,0.304321081040401
1085,0.016344725111441305,0.35785182559376105,0.14901509211665306,3.164082069220599e-06,0.2973793051757124
698,0.016840019811788013,0.27118871725990595,0.11533045020560802,1.1168762919222951e-09,0.2311063194355181
567,0.015601783060921248,0.3288809252321225,0.09631033121856215,9.932294827390035e-06,0.19364562585218764
58,0.0029717682020802376,0.3974018305284913,0.08436020590796486,0.000589812015498517,0.16946372903267143
428,0.02847944526993561,0.3948371956585509,0.06430906239323866,0.0005990064686115545,0.1329229413180698
563,0.022535908865775136,0.3939127889961955,0.06278022847240787,0.0006011949723950989,0.12890237132429777
860,0.0004952947003467063,0.31492746841366404,0.05782590687091168,4.601211633682455e-08,0.1162731021852471
414,0.03937592867756315,0.3695433330282786,0.04763337297172344,1.2134149798971187e-05,0.10339554065975201
2347,0.07206537890044576,0.2834081976417743,0.0031998747402823065,0.08032159723948953,0.09670863471965878
2266,0.05794947994056463,0.28170782754290496,0.0017078201895933834,0.08698327767886553,0.09423053352850272
2543,0.07280832095096582,0.29129995671620257,0.007604626657378419,0.07287130597841684,0.0940647321660517
348,0.05671124318969787,0.36991572004397216,0.03799809748091909,1.4587799943345803e-05,0.0931961326817281
2233,0.0549777117384844,0.26354261845712046,0.0001141864844827322,0.08517340912756598,0.09128696038420012
2206,0.052005943536404156,0.26333637667927484,1.218384937248003e-05,0.08605239270584343,0.09070437324016419
2142,0.054730064388311045,0.2635254193043138,8.992278144016344e-05,0.08419311897991796,0.09048017278586691
1577,0.04210004952947003,0.35718708536045995,0.03978470502937034,0.007162274496568229,0.09012918246678327
1985,0.0554730064388311,0.2635770234986945,0.0001324461868797832,0.08273780994613868,0.08976353096620451
2218,0.050767706785537395,0.2632505378447096,1.4677835806484197e-05,0.08415573568055032,0.08883568712316778
2078,0.05052005943536404,0.2632333767926988,1.3204916504834854e-05,0.08413617041724979,0.08872361209544088
2464,0.05002476473501733,0.2631990614000782,8.217091110782286e-06,0.08427877475676092,0.08863317573832036
2410,0.0512630014858841,0.26328486666231987,2.0825042020004427e-05,0.08351751162148192,0.08856847461033102
2123,0.05027241208519068,0.2632162179779675,1.0548338908604307e-05,0.08367141238206226,0.08828602348673516
2229,0.0512630014858841,0.26328486666231987,3.506630843377365e-05,0.08300773533630397,0.08820019969662028
1993,0.05027241208519068,0.2632162179779675,1.7699084201704577e-05,0.0835324284081597,0.08818555698250954
2507,0.04977711738484398,0.2631819070585935,1.2895423911585726e-05,0.08327311568144907,0.08780011910755986
2244,0.04952947003467063,0.2631647549530761,8.803135012512038e-06,0.08334186008004286,0.08775286885821257
2240,0.04977711738484398,0.2631819070585935,1.1615429569137655e-05,0.08305685135432213,0.08764144795378821
2340,0.04903417533432392,0.26313045744819497,9.221639254696473e-06,0.08305335409204806,0.08734777002645673
2611,0.0512630014858841,0.26328486666231987,3.770136741730742e-05,0.08154646584951086,0.08713976195751406
2088,0.04903417533432392,0.26313045744819497,1.1498076068114056e-05,0.08246949872654785,0.08691880748161303
2309,0.049281822684497274,0.26314760508308893,2.5638111931682812e-05,0.08202182499174308,0.0866896486930802
2131,0.04903417533432392,0.26313045744819497,1.697400542700466e-05,0.08213300091928562,0.08667237354781354
2590,0.04878652798415057,0.26311331204795724,9.814358384981503e-06,0.0820021743665391,0.08647786325403742
2073,0.04829123328380386,0.26307902794970356,8.662498660287812e-06,0.08225574464925646,0.0864712975808403
2604,0.04853888063397721,0.26309616888193904,1.5016353473009553e-05,0.08207041767476013,0.08643205791397576
2220,0.04829123328380386,0.26307902794970356,7.192507898063135e-06,0.08215589813547934,0.08639739799931001
2369,0.04878652798415057,0.26311331204795724,1.0116862726430774e-05,0.08175720718699117,0.08629772583537092
2602,0.04903417533432392,0.26313045744819497,1.7202387833817157e-05,0.08149381408026046,0.08620292517762505
2059,0.047795938583457154,0.26304475278483486,5.698009606767324e-06,0.0820646782821739,0.08613795074150879
2560,0.04977711738484398,0.2631819070585935,4.749728289739481e-05,0.08078639315772751,0.08598607366619822
2607,0.04829123328380386,0.26307902794970356,9.4624460837597e-06,0.08124537653643864,0.08572636356599957
1983,0.049281822684497274,0.26314760508308893,2.5672788453269383e-05,0.08039917471734506,0.08550035111219098
2188,0.048043585933630506,0.2630618892508143,8.624614054224963e-06,0.08096541542457109,0.08542271613409638
2324,0.04878652798415057,0.26311331204795724,5.113911268040703e-05,0.08018254275978312,0.08514725190817032
2090,0.046805349182763745,0.2629762292412895,5.5063191091033404e-06,0.0809975287720957,0.08496531392522397
2201,0.0470529965329371,0.2629933567799922,6.426527679690906e-06,0.08074260646808276,0.08487179872859903
1943,0.0475482912332838,0.26302761855132883,1.0939467004464005e-05,0.08025612611797694,0.08470523750674394
1946,0.04730064388311045,0.26301048654986,7.29745761675149e-06,0.08037356054021672,0.08469472342345312
2150,0.0475482912332838,0.26302761855132883,1.6439058852728304e-05,0.08015482339731764,0.08463122504017236
2172,0.047795938583457154,0.26304475278483486,1.0658525110059085e-05,0.07989216501201495,0.08453385459540753
2542,0.04853888063397721,0.28096298357918176,0.0013570237177650823,0.07899141782998471,0.08452401624324107
2601,0.0470529965329371,0.2629933567799922,7.5047229081355956e-06,0.08014255920378463,0.0844271735972509
