node,DC,CC,BC,EC,TOPSIS
104,0.0627208480565371,0.37821583695289007,0.03693124853317947,0.22910279788671992,0.9497703949303498
332,0.045936395759717315,0.3828204261075414,0.03948985782790013,0.1236567077220931,0.7747226332232892
22,0.045053003533568906,0.38165879973027644,0.03346297766608285,0.11659280000009888,0.7197943456555911
41,0.045053003533568906,0.3775850567044696,0.02602441770604824,0.13157010630952826,0.6434569995134065
75,0.037985865724381625,0.37433862433862436,0.030117501315083384,0.08244385614432276,0.6228791610168011
40,0.04328621908127209,0.3749585955614442,0.026499357139407435,0.10418012351390381,0.6130282737371949
577,0.03268551236749116,0.35982199618563254,0.03155662746086827,0.05308026678557635,0.5934612871275485
232,0.03975265017667844,0.3733509234828496,0.027717031244654997,0.08005999261932248,0.5931783625306198
195,0.04151943462897526,0.35800126502213786,0.019788766492296852,0.15424720604912343,0.5647349697784662
134,0.0353356890459364,0.36993464052287583,0.027264467891820313,0.06749319730187174,0.5645433832411779
15,0.045053003533568906,0.3466013472137171,0.017842922172167586,0.16529564953404918,0.551885543564875
354,0.0353356890459364,0.3578880809358204,0.026387767326481314,0.061509490082902074,0.5459866165027992
377,0.03268551236749116,0.36860957342885053,0.024904274647499197,0.0779681407484298,0.539742737513775
51,0.03356890459363958,0.37322782723376197,0.022929092225047812,0.08068529792368372,0.5158804272636138
20,0.037985865724381625,0.3578880809358204,0.019476237901142984,0.11033324070292438,0.5047857380927502
428,0.028268551236749116,0.3510077519379845,0.023789414893834165,0.04326551666602526,0.47914902129468556
133,0.03445229681978799,0.3642213642213642,0.018893540920088908,0.06321463890148575,0.43794447638998385
48,0.0353356890459364,0.3508989460632362,0.013736140598631047,0.1279242203849163,0.43334881861508695
182,0.030918727915194347,0.3485221674876847,0.0194012044065075,0.055763990717398924,0.43106410059067657
23,0.037102473498233215,0.3362043362043362,0.017216188448430564,0.07634441991299935,0.4303651109847718
57,0.029151943462897525,0.3445966514459665,0.019392268020770518,0.054227419777016776,0.42599942564042503
467,0.026501766784452298,0.34895191122071517,0.019348846270921236,0.05826081230136247,0.42443590288552113
353,0.0353356890459364,0.35286783042394015,0.016438272653142575,0.08256604292284997,0.4219757585525316
115,0.03356890459363958,0.3447015834348356,0.013327753551053124,0.12500972776484937,0.4204713182304248
